text,label
"Artificial intelligence models generate smooth and structured writing without emotional nuances.",1
"This essay was produced using an AI language model for academic purposes.",1
"The quick brown fox jumps over the lazy dog and runs across the garden.",0
"Humans often write with natural variation, slang, and imperfections that AI systems rarely mimic.",0
"This paragraph is written by ChatGPT and demonstrates fluent sentence generation capabilities.",1
"Technology evolves rapidly and impacts our daily lives in both subtle and significant ways.",0
"AI models tend to repeat certain patterns when generating longer text passages.",1
"Yesterday, I went to the market to buy vegetables and ended up meeting an old friend.",0
"The climate crisis continues to accelerate due to human activities and industrial emissions.",0
"This content was automatically created by a generative AI model.",1
"The structure of AI-generated text usually lacks personal storytelling and subjective details.",1
"During my childhood, I used to play cricket every evening with my neighborhood friends.",0
"Large language models can produce consistent tone, grammar, and high-level explanations.",1
"I vividly remember the smell of rain when we visited my grandparents during holidays.",0
"The system uses transformer architecture to generate natural language responses.",1
"People often express emotions and memories uniquely in their writing.",0
"ChatGPT created this paragraph as an example of AI-based text.",1
"My professor asked us to write a reflective essay on our learning experiences this semester.",0
"This document was produced automatically using a machine learning model.",1
"The writer shares personal opinions that reflect individual thought processes.",0
"Yesterday, I met an old friend at the market and we talked for hours.",0
Large language models produce explanations in a formal and neutral tone.,1
I remember visiting my cousin last summer; we had a great time.,0
AI writing often shows repetitive patterns across sentences.,1
AI writing often shows repetitive patterns across sentences.,1
I enjoy long evening walks because they help me relax.,0
I enjoy long evening walks because they help me relax.,0
This text was generated using an AI model.,1
This passage demonstrates automated sentence generation.,1
"Growing up, we often traveled to my grandparents' home during holidays.",0
I once had a pet dog who followed me everywhere.,0
"During my school days, we used to play football every weekend.",0
Large language models produce explanations in a formal and neutral tone.,1
The system processes input tokens to generate coherent text.,1
Large language models produce explanations in a formal and neutral tone.,1
"During my school days, we used to play football every weekend.",0
My friend surprised me with a birthday gift yesterday.,0
"During my school days, we used to play football every weekend.",0
I love the sound of rain hitting the windows during monsoon season.,0
Artificial intelligence produces structured and consistent writing.,1
The system processes input tokens to generate coherent text.,1
I love the sound of rain hitting the windows during monsoon season.,0
"Yesterday, I met an old friend at the market and we talked for hours.",0
AI writing often shows repetitive patterns across sentences.,1
I wrote this paragraph after thinking about my childhood memories.,0
AI-generated paragraphs maintain fluent grammar and clarity.,1
This passage demonstrates automated sentence generation.,1
"Growing up, we often traveled to my grandparents' home during holidays.",0
AI creates language outputs without personal experiences or emotions.,1
Artificial intelligence produces structured and consistent writing.,1
AI writing often shows repetitive patterns across sentences.,1
The system relies on transformer-based architecture to generate responses.,1
I love the sound of rain hitting the windows during monsoon season.,0
I wrote this paragraph after thinking about my childhood memories.,0
Large language models produce explanations in a formal and neutral tone.,1
I remember visiting my cousin last summer; we had a great time.,0
My friend surprised me with a birthday gift yesterday.,0
"Growing up, we often traveled to my grandparents' home during holidays.",0
My friend surprised me with a birthday gift yesterday.,0
AI-generated paragraphs maintain fluent grammar and clarity.,1
I love the sound of rain hitting the windows during monsoon season.,0
I enjoy long evening walks because they help me relax.,0
"Yesterday, I met an old friend at the market and we talked for hours.",0
I wrote this paragraph after thinking about my childhood memories.,0
AI creates language outputs without personal experiences or emotions.,1
This content was automatically created using a language model.,1
The system processes input tokens to generate coherent text.,1
AI creates language outputs without personal experiences or emotions.,1
I wrote this paragraph after thinking about my childhood memories.,0
AI writing often shows repetitive patterns across sentences.,1
I love the sound of rain hitting the windows during monsoon season.,0
"During my school days, we used to play football every weekend.",0
I once had a pet dog who followed me everywhere.,0
This passage demonstrates automated sentence generation.,1
This content was automatically created using a language model.,1
AI-generated paragraphs maintain fluent grammar and clarity.,1
This passage demonstrates automated sentence generation.,1
I love the sound of rain hitting the windows during monsoon season.,0
"Growing up, we often traveled to my grandparents' home during holidays.",0
AI-generated paragraphs maintain fluent grammar and clarity.,1
I love the sound of rain hitting the windows during monsoon season.,0
AI writing often shows repetitive patterns across sentences.,1
"Yesterday, I met an old friend at the market and we talked for hours.",0
"During my school days, we used to play football every weekend.",0
AI writing often shows repetitive patterns across sentences.,1
"During my school days, we used to play football every weekend.",0
I enjoy long evening walks because they help me relax.,0
The system processes input tokens to generate coherent text.,1
"Yesterday, I met an old friend at the market and we talked for hours.",0
The system processes input tokens to generate coherent text.,1
I wrote this paragraph after thinking about my childhood memories.,0
"Growing up, we often traveled to my grandparents' home during holidays.",0
Artificial intelligence produces structured and consistent writing.,1
"Growing up, we often traveled to my grandparents' home during holidays.",0
Large language models produce explanations in a formal and neutral tone.,1
I wrote this paragraph after thinking about my childhood memories.,0
I remember visiting my cousin last summer; we had a great time.,0
The system relies on transformer-based architecture to generate responses.,1
I love the sound of rain hitting the windows during monsoon season.,0
AI creates language outputs without personal experiences or emotions.,1
The system processes input tokens to generate coherent text.,1
This text was generated using an AI model.,1
I enjoy long evening walks because they help me relax.,0
AI-generated paragraphs maintain fluent grammar and clarity.,1
"Yesterday, I met an old friend at the market and we talked for hours.",0
My friend surprised me with a birthday gift yesterday.,0
The system relies on transformer-based architecture to generate responses.,1
I remember visiting my cousin last summer; we had a great time.,0
AI-generated paragraphs maintain fluent grammar and clarity.,1
AI writing often shows repetitive patterns across sentences.,1
I love the sound of rain hitting the windows during monsoon season.,0
I once had a pet dog who followed me everywhere.,0
I remember visiting my cousin last summer; we had a great time.,0
I love the sound of rain hitting the windows during monsoon season.,0
I love the sound of rain hitting the windows during monsoon season.,0
The system relies on transformer-based architecture to generate responses.,1
This passage demonstrates automated sentence generation.,1
The system processes input tokens to generate coherent text.,1
My friend surprised me with a birthday gift yesterday.,0
I love the sound of rain hitting the windows during monsoon season.,0
My friend surprised me with a birthday gift yesterday.,0
I wrote this paragraph after thinking about my childhood memories.,0
I once had a pet dog who followed me everywhere.,0
"Last night, I cooked dinner and tried a new recipe with my mom.",0
I once had a pet dog who followed me everywhere.,0
I wrote this paragraph after thinking about my childhood memories.,0
The system processes input tokens to generate coherent text.,1
"Yesterday, I met an old friend at the market and we talked for hours.",0
Artificial intelligence produces structured and consistent writing.,1
I enjoy long evening walks because they help me relax.,0
I remember visiting my cousin last summer; we had a great time.,0
I once had a pet dog who followed me everywhere.,0
The system processes input tokens to generate coherent text.,1
This passage demonstrates automated sentence generation.,1
The system processes input tokens to generate coherent text.,1
I love the sound of rain hitting the windows during monsoon season.,0
"Growing up, we often traveled to my grandparents' home during holidays.",0
I remember visiting my cousin last summer; we had a great time.,0
This passage demonstrates automated sentence generation.,1
I remember visiting my cousin last summer; we had a great time.,0
The system processes input tokens to generate coherent text.,1
Large language models produce explanations in a formal and neutral tone.,1
I wrote this paragraph after thinking about my childhood memories.,0
I enjoy long evening walks because they help me relax.,0
"Last night, I cooked dinner and tried a new recipe with my mom.",0
I once had a pet dog who followed me everywhere.,0
My friend surprised me with a birthday gift yesterday.,0
"Last night, I cooked dinner and tried a new recipe with my mom.",0
This passage demonstrates automated sentence generation.,1
I love the sound of rain hitting the windows during monsoon season.,0
"Yesterday, I met an old friend at the market and we talked for hours.",0
This passage demonstrates automated sentence generation.,1
This content was automatically created using a language model.,1
AI-generated paragraphs maintain fluent grammar and clarity.,1
"Growing up, we often traveled to my grandparents' home during holidays.",0
My friend surprised me with a birthday gift yesterday.,0
I wrote this paragraph after thinking about my childhood memories.,0
AI creates language outputs without personal experiences or emotions.,1
"Growing up, we often traveled to my grandparents' home during holidays.",0
I love the sound of rain hitting the windows during monsoon season.,0
Large language models produce explanations in a formal and neutral tone.,1
"Yesterday, I met an old friend at the market and we talked for hours.",0
